limitation_id,limitation,impact_on_interpretation,current_treatment,future_work
L01,The experimental scope is limited to C-MAPSS FD001.,Findings are established for one operating condition and one fault mode and should not be generalised to all industrial assets.,The report explicitly scopes all conclusions to FD001.,Evaluate FD002–FD004 and external industrial datasets with multiple regimes and fault mechanisms.
L02,The work is benchmark-driven multi-view learning rather than native multimodality.,"Both views are derived from the same numerical sensor stream; no image, audio, text or independently aligned modality is used.",The dissertation uses the term multi-view and states the multimodality boundary clearly.,"Fuse temporally aligned sensor data with inspection images, maintenance text or acoustic/vibration modalities."
L03,Repeated validation uses three engine-level split configurations.,Mean and standard deviation describe cohort sensitivity but do not establish formal statistical superiority.,All variability statements are described as descriptive evidence.,"Use more repeated grouped splits, nested validation or bootstrap confidence intervals at engine level."
L04,Validation and official-test evaluation units differ.,"Validation uses all eligible windows, whereas official test evaluation uses one endpoint per engine.",Rankings are compared descriptively; absolute RMSE values are not presented as a direct generalisation gap.,Add endpoint-only validation analysis or matched evaluation units in future experiments.
L05,The capped-RUL formulation compresses early-life targets above 125 cycles.,Performance emphasises degradation and later-life prediction rather than exact early-life RUL.,All reported results state the 125-cycle cap and the official-test capping rule.,Compare capped and uncapped targets and assess sensitivity to alternative cap values.
L06,Only one frozen fusion architecture is evaluated.,The negative fusion result does not prove that all fusion approaches are ineffective.,The conclusion is limited to the implemented GRU–MLP concatenation architecture.,"Evaluate gated, attention-based or uncertainty-aware fusion under a larger controlled study."
L07,The models depend materially on cycle_index.,Explicit lifecycle position contributes useful signal but may act as a shortcut when operating histories differ from FD001.,A dedicated ablation quantifies the dependence and the report avoids labelling it as leakage.,Test models without explicit cycle position and under shifted lifecycle distributions.
L08,Feature-level attribution is strongest for XGBoost; neural explanation is mainly view-level.,The fusion network is not explained at individual timestep and sensor attribution level.,View masking and local cases provide bounded neural-model interpretation.,Apply Integrated Gradients or sequence-aware attribution with stability checks.
L09,MC Dropout uncertainty is uncalibrated.,Prediction standard deviation cannot be interpreted as a calibrated confidence interval.,Uncertainty is reported only as exploratory predictive dispersion.,"Evaluate conformal prediction, calibration curves and coverage-aware intervals."
L10,The NASA asymmetric scoring function is not part of the principal evaluation.,The study does not explicitly weight late predictions more strongly than early predictions.,"RMSE, MAE, R² and signed error are reported transparently.",Add asymmetric maintenance-cost and NASA-score analysis under matched benchmark definitions.
L11,The work is a benchmark prototype and not a production deployment.,"Operational latency, concept drift, sensor quality, integration and maintenance-cost decisions are not validated in a live system.",The report positions the work as applied benchmark research relevant to predictive-maintenance decision support.,"Conduct deployment-oriented validation with monitoring, drift detection, business-cost thresholds and human-in-the-loop review."
