claim_id,defensible_claim,evidence,required_qualification,avoid_wording
C01,A leakage-aware engine-grouped pipeline was implemented for capped RUL regression on C-MAPSS FD001.,"NB03, NB10 protocol assertions and NB11 frozen test protocol",Scope is FD001 and the target is capped at 125 cycles.,The pipeline eliminates all possible leakage in any predictive-maintenance setting.
C02,DerivedOnlyMLP produced the lowest mean RMSE across the three final-protocol validation splits.,E05 and E06,"Three split configurations provide descriptive stability evidence, not formal statistical superiority.",DerivedOnlyMLP is universally the best FD001 model.
C03,XGBoost achieved the strongest one-time official FD001 endpoint result under the capped-RUL formulation.,E10 and E11,"One endpoint per engine; labels capped at 125; predictions clipped to [0, 125].",XGBoost is state of the art on the standard uncapped NASA benchmark.
C04,The implemented fusion model was competitive on some engine cohorts but did not consistently outperform the strongest single-view or classical alternative.,E05–E07a and E10,Conclusion applies to the frozen GRU–MLP concatenation architecture.,Multimodal fusion is ineffective for predictive maintenance.
C05,The engineered degradation view carries much of the predictive information in the current formulation.,"E09, E13–E22","Based on model behaviour, ablation and masking; not a physical-causality claim.",Raw sensor sequences add no information.
C06,"Removing cycle_index worsened RMSE for XGBoost, DerivedOnlyMLP and Fusion in the paired seed-42 ablation.",E09,"cycle_index is available at prediction time; the result demonstrates dependence, not target leakage by itself.",cycle_index is leakage and therefore invalid.
C07,XGBoost importance and SHAP identify rolling degradation features and cycle_index as influential model inputs.,E13–E20,Attribution is model- and dataset-specific and does not establish sensor causality.,These variables physically cause engine degradation.
C08,The fusion model is more sensitive to derived-feature corruption and complete derived-view loss than to comparable raw-sequence perturbation.,"E21, E22, E25–E31",Synthetic perturbations and inference-time masking on the historical seed-42 model.,The model is robust to all realistic sensor failures.
C09,MC Dropout dispersion shows moderate association with absolute prediction error.,E32–E34,Uncalibrated exploratory uncertainty signal only.,The model provides calibrated confidence intervals.
C10,"The dissertation contributes a controlled multi-view, explainability and trustworthiness evaluation rather than a claim of universal predictive superiority.",E01–E56,Benchmark prototype on FD001; not a production or native multimodal deployment.,The work proves a production-ready multimodal solution for industrial assets.
